"noteWavNames";"notenames";"expected";"expected_notenames";"date";"rownum";"session"
-25;"G#";-14;"g";"2019-06-19";"1";1
-22;"B";-14;"g";"2019-06-19";"2";1
-38;"G,";-14;"g";"2019-06-19";"3";1
-42;"D#,";-12;"a";"2019-06-19";"4";1
-67;"D,,,";-12;"a";"2019-06-19";"5";1
-24;"A";-10;"b";"2019-06-19";"6";1
-25;"G#";-10;"b";"2019-06-19";"7";1
-31;"D";-9;"c'";"2019-06-19";"8";1
-23;"A#";-9;"c'";"2019-06-19";"9";1
-23;"A#";-9;"c'";"2019-06-19";"10";1
-20;"c#";-7;"d'";"2019-06-19";"11";1
-21;"c";-7;"d'";"2019-06-19";"12";1
-20;"c#";-7;"d'";"2019-06-19";"13";1
-19;"d";-5;"e'";"2019-06-19";"14";1
-19;"d";-5;"e'";"2019-06-19";"15";1
-17;"e";-5;"e'";"2019-06-19";"16";1
-17;"e";-3;"f#'";"2019-06-19";"17";1
-17;"e";-3;"f#'";"2019-06-19";"18";1
-47;"A#,,";-3;"f#'";"2019-06-19";"19";1
-43;"D,";-2;"g'";"2019-06-19";"20";1
-41;"E,";-2;"g'";"2019-06-19";"21";1
-27;"F#";-14;"g";"2019-06-19";"1";2
-25;"G#";-14;"g";"2019-06-19";"2";2
-33;"C";-14;"g";"2019-06-19";"3";2
-26;"G";-12;"a";"2019-06-19";"4";2
-23;"A#";-12;"a";"2019-06-19";"5";2
-24;"A";-10;"b";"2019-06-19";"6";2
-43;"D,";-10;"b";"2019-06-19";"7";2
-22;"B";-9;"c'";"2019-06-19";"8";2
-22;"B";-9;"c'";"2019-06-19";"9";2
-22;"B";-9;"c'";"2019-06-19";"10";2
-21;"c";-7;"d'";"2019-06-19";"11";2
-21;"c";-7;"d'";"2019-06-19";"12";2
-19;"d";-7;"d'";"2019-06-19";"13";2
-19;"d";-5;"e'";"2019-06-19";"14";2
-19;"d";-5;"e'";"2019-06-19";"15";2
-17;"e";-5;"e'";"2019-06-19";"16";2
-17;"e";-3;"f#'";"2019-06-19";"17";2
-14;"g";-3;"f#'";"2019-06-19";"18";2
-15;"f#";-3;"f#'";"2019-06-19";"19";2
-15;"f#";-2;"g'";"2019-06-19";"20";2
-13;"g#";-2;"g'";"2019-06-19";"21";2
